iter	Passed	Remaining
470	646	726
471	647	724
472	648	722
473	648	719
474	649	717
475	650	715
476	650	713
477	651	711
478	652	709
479	653	707
480	653	705
481	654	703
482	655	701
483	655	699
484	656	696
485	656	694
486	657	693
487	658	690
488	659	688
489	659	686
490	660	684
491	661	682
492	662	680
493	662	678
494	664	677
495	665	675
496	665	673
497	666	671
498	666	669
499	667	667
500	667	665
501	668	663
502	669	661
503	670	659
504	671	657
505	671	655
506	672	653
507	672	651
508	673	649
509	674	647
510	674	645
511	675	643
512	676	642
513	677	640
514	677	638
515	678	636
516	679	634
517	679	632
518	680	630
519	681	628
520	681	626
521	682	625
522	683	623
523	683	621
524	684	619
525	685	617
526	685	615
527	686	613
528	687	612
529	688	610
530	688	608
531	689	606
532	690	604
533	690	602
534	691	601
535	692	599
536	694	598
537	694	596
538	695	594
539	696	593
540	696	591
541	697	589
542	697	587
543	698	585
544	699	583
545	700	582
546	701	580
547	702	579
548	702	577
549	703	575
550	704	574
551	705	572
552	707	571
553	707	569
554	708	568
555	709	566
556	710	564
557	710	563
558	711	561
559	712	559
560	713	558
561	714	556
562	714	554
563	715	553
564	716	551
565	716	549
566	717	547
567	718	546
568	719	544
569	719	543
570	722	543
571	723	541
572	724	539
573	725	538
574	726	536
575	727	535
576	728	533
577	728	532
578	729	530
579	730	528
580	731	527
581	732	526
582	733	524
583	734	523
584	737	523
585	740	523
586	741	521
587	742	520
588	743	518
589	743	516
590	744	515
591	745	513
592	746	512
593	747	510
594	747	509
595	748	507
596	749	506
597	753	506
598	754	504
599	755	503
600	756	502
601	757	500
602	758	499
603	759	497
604	760	496
605	760	494
606	761	493
607	762	491
608	764	490
609	766	490
610	768	488
611	769	487
612	770	486
613	770	484
614	771	483
615	772	481
616	773	479
617	773	478
618	774	476
619	775	475
620	776	473
621	777	472
622	778	470
623	778	469
624	779	467
625	783	467
626	784	466
627	784	464
628	785	463
629	786	461
630	787	460
631	788	458
632	788	457
633	789	455
634	790	454
635	792	453
636	793	452
637	796	451
638	797	450
639	798	448
640	799	447
641	800	446
642	800	444
643	801	443
644	802	441
645	803	440
646	804	438
647	805	437
648	807	436
649	807	434
650	808	433
651	810	432
652	812	431
653	813	430
654	814	428
655	814	427
656	815	425
657	816	424
658	817	423
659	819	422
660	820	420
661	821	419
662	822	418
663	823	416
664	826	416
665	827	415
666	828	413
667	829	412
668	830	410
669	831	409
670	832	408
671	833	406
672	833	405
673	834	403
674	835	402
675	836	400
676	837	399
677	837	397
678	838	396
679	838	394
680	839	393
681	840	392
682	841	390
683	842	389
684	843	387
685	843	386
686	844	384
687	844	383
688	845	381
689	846	380
690	846	378
691	847	377
692	848	375
693	848	374
694	849	372
695	850	371
696	850	369
697	851	368
698	852	366
699	852	365
700	853	364
701	855	362
702	856	361
703	857	360
704	857	358
705	858	357
706	860	356
707	863	356
708	863	354
709	864	353
710	865	351
711	865	350
712	866	348
713	867	347
714	867	345
715	868	344
716	868	342
717	869	341
718	871	340
719	872	339
720	873	338
721	874	336
722	875	335
723	876	334
724	876	332
725	877	331
726	878	329
727	879	328
728	879	327
729	880	325
730	881	324
731	882	322
732	882	321
733	883	320
734	885	319
735	886	318
736	887	316
737	888	315
738	889	314
739	890	312
740	891	311
741	892	310
742	892	308
743	893	307
744	894	306
745	895	304
746	895	303
747	896	302
748	897	300
749	898	299
750	899	298
751	901	297
752	903	296
753	904	295
754	905	293
755	905	292
756	906	291
757	907	289
758	908	288
759	908	287
760	909	285
761	910	284
762	911	283
763	911	281
764	912	280
765	913	279
766	917	278
767	918	277
768	919	276
769	920	274
770	921	273
771	922	272
772	923	271
773	923	269
774	924	268
775	925	267
776	926	265
777	926	264
778	927	263
779	930	262
780	931	261
781	932	260
782	934	258
783	935	257
784	935	256
785	936	254
786	937	253
787	937	252
788	938	250
789	939	249
790	940	248
791	941	247
792	941	245
793	942	244
794	943	243
795	944	242
796	946	241
797	947	239
798	948	238
799	949	237
800	949	236
801	950	234
802	951	233
803	952	232
804	953	230
805	954	229
806	954	228
807	955	227
808	956	225
809	957	224
810	958	223
811	961	222
812	962	221
813	963	220
814	963	218
815	965	217
816	965	216
817	966	215
818	967	213
819	967	212
820	968	211
821	969	209
822	970	208
823	971	207
824	972	206
825	972	204
826	974	203
827	975	202
828	976	201
829	977	200
830	978	198
831	978	197
832	979	196
833	980	195
834	981	193
835	981	192
836	982	191
837	983	190
838	984	188
839	985	187
840	985	186
841	986	185
842	987	183
843	987	182
844	989	181
845	990	180
846	991	179
847	992	177
848	993	176
849	993	175
850	994	174
851	995	172
852	996	171
853	997	170
854	998	169
855	998	168
856	999	166
857	1000	165
858	1001	164
859	1003	163
860	1005	162
861	1005	161
862	1006	159
863	1007	158
864	1008	157
865	1009	156
866	1009	154
867	1010	153
868	1011	152
869	1012	151
870	1013	150
871	1014	148
872	1015	147
873	1015	146
874	1016	145
875	1017	144
876	1019	142
877	1020	141
878	1021	140
879	1022	139
880	1022	138
881	1023	136
882	1024	135
883	1025	134
884	1026	133
885	1027	132
886	1027	130
887	1028	129
888	1029	128
889	1029	127
890	1030	126
891	1031	124
892	1033	123
893	1034	122
894	1035	121
895	1036	120
896	1036	119
897	1038	117
898	1039	116
899	1040	115
900	1041	114
901	1042	113
902	1043	112
903	1044	110
904	1045	109
905	1047	108
906	1048	107
907	1049	106
908	1050	105
909	1051	104
910	1052	102
911	1053	101
912	1054	100
913	1055	99
914	1056	98
915	1056	96
916	1057	95
917	1058	94
918	1059	93
919	1061	92
920	1062	91
921	1063	89
922	1064	88
923	1065	87
924	1066	86
925	1066	85
926	1067	84
927	1068	82
928	1068	81
929	1069	80
930	1070	79
931	1070	78
932	1071	76
933	1072	75
934	1073	74
935	1073	73
936	1074	72
937	1076	71
938	1077	69
939	1077	68
940	1078	67
941	1079	66
942	1080	65
943	1080	64
944	1081	62
945	1082	61
946	1083	60
947	1083	59
948	1084	58
949	1085	57
950	1086	55
951	1086	54
952	1087	53
953	1088	52
954	1088	51
955	1090	50
956	1091	49
957	1092	47
958	1094	46
959	1095	45
960	1096	44
961	1097	43
962	1098	42
963	1098	41
964	1099	39
965	1100	38
966	1101	37
967	1101	36
968	1102	35
969	1103	34
970	1104	32
971	1107	31
972	1108	30
973	1108	29
974	1109	28
975	1110	27
976	1111	26
977	1112	25
978	1112	23
979	1113	22
980	1114	21
981	1114	20
982	1115	19
983	1116	18
984	1117	17
985	1117	15
986	1118	14
987	1119	13
988	1122	12
989	1123	11
990	1124	10
991	1125	9
992	1125	7
993	1126	6
994	1127	5
995	1128	4
996	1129	3
997	1129	2
998	1130	1
999	1131	0
